summonerId,summonerName,enemyMissingPings,matchCount
qUIru5LOKxPJiZ6NW6JAXoxJz5zj3RfSSYofnJHpXJamskY,신승협,44,1
_kThCO2BoZIImhdzaO27r9_xxWznJXZuRvsU_2RGzNzLGqc,꽃향수,43,5
-z15zhsdbx4x2pGgelwnqSUfWoQGWUMUGVb9d2hLw21KEYA,오룡전멸,42,4
WX7Mm7-qtz8OMIWUFqJtiGZNmLgkWzIClLiFJgO1VnwmxdA,범짱이라구,42,6
TS85lYvzeImLFXHfS4Fo_fTHeUg55-3VC--aBsSyc8_E6NH-OBDgzVYOkw,브론즈는안가,42,1
aUulvz2iEcU09ZiZoZ055dsM0LqujorWZSQ1-mFPzO2-8SE,2023게임만함,42,10
h4pnhBb3vCQPtlyehqOY0R06UtQXwI3jle5NRHOrxf8717A,있이발럼들,41,1
8Gb0NctLoOHDY17ro4qdf6bDicCMUqY88hdw7pXGV9whrwc,야스오1,41,3
zLg7w_nJm_WlZ-W-uSc3X0DCxgJ9VCqeBgFT_sZT2DDOaQ,Armbar,41,1
EQ7ycx0ilSwQqdi2BGoFoPI4Zy3twSG-zegv16_gO8avzLo,가락아남탓하지마,41,2
_A11q5VAjrjnDC1aS6-u46NYn6LFR_iGtXWsMDqw8GJKLzk,반쮸입은아빠,41,15
OCPqYzfhFIz-HTlDpTEU-ijmuni_EeBVEA-dA_LPAgL9yQ,못생긴놈만죽임,41,1
_aeBJlj-sv9NsRvomMs3mePQXO9n0oQHbxDy8tzwvQ8n-g,미니어처,41,6
ogLPW77-uGUeMjmolYFWx0_H38Kxnv7v2Wih2umK2rwevg,나 나원석,40,1
At38MYUwT_55cPhEkeHPqRm8pCmMYWr5u4ZWxqR_xzUiJXQ,songddolkeep,40,1
spTTrutGGdPe9bGUfuCuqkxHM_G0oj_hW2bI2MNQPuNzHQ,보복운전,40,1
vOvokBsikty8LRG-bmNQ-Bq6EkWgpXhICjTozLtKLUQOqCAyrf1y8UPyjQ,IIlllIIIIllll,40,2
w7ezdXeyVoBBKtHdpTS1kK9GVqvqXCPuZLeZk1USGObFeDk,고독속의절대자,40,7
_hJZvpZaKKAYDo6_z9udMYfRbBS_4Cng-SLZC_aVvIfHhA,띵용님,40,13
IkR4jpJlLWUYXu-BbzgGTJpMZJBMNIcd-5Hyc8OZ1noGYUw,콩둘기둘기,39,5
_hwoIbiQ7r41O1ADlgzwySS2vDEP_psrDbMd6UDTXOSvvnI,찌떠니귀요미,39,9
N2-4Mv-rzhB6XEpxfnOSJlr4_SDDH8VugUF2hh_aV8CviRc,날 막 만졌다구욧,39,1
_iMjGNqojVbkwmhrq81JkSxXRGNDBgjihAtKjZa6uQ23vwE,Desperado Wood,38,23
kJS3agjKxL_nqcedCB3BX-whc4sHxdPzGSELzxziCEQElgk,야호붕붕302호,38,2
FVvUv6MIj99uaWEcC1RAgs5fKKIucx8H55AjA0vLFqTVQ2U,나가리 화이팅,38,1
sFIDXMWitwrStRiidGLlK8-fhtFBOB8k9rl2uT6rgQLtZscOXKcXn8tzDA,짜스짜스짜스짜스,38,1
u_c2eFz50EdT4A1wdhAryrcOsYmcsGbSOsfp2xqajBUSN7NArqaPZ_iUzQ,소중한바위게쨩,38,1
rnbAFRft5AgK1PH4LuL6NENpkJa9C_vGdzZ1SVt84i6nnhE,우리그만화해하자,38,3
rui3DeBdJ2mzD2i21AIJ4bLdRUivHiJxtpIZWagmn8BV5w,목표는주말부부,37,10
oGQnSWqa_PrXtK74YPaTagQeu18VOVC5iY9CPnwxZ6m5PSg,굿 끼 제 먹 1,37,9
McW_22o9seZXX8QJN9L4U1SUQ70ZkV4NnPGb_jhtd8MkzWo,한준수비응신,37,1
H6dbMXuCGXR2xurz7TuaBtTiWR5MVr4J26bknR37VrP8Ajs,광견그자체,36,1
bQhjF8ek5tL-pjSxJvmPWed0FeptoizgIXbYSz-3OeTxG3Y,캐 남,36,2
jEU47zD4-im7q8lZAaHWP50G0VndyBrmU9VwPXykUhqtveU,버리는 계정1321,36,1
8dcokLBcxa501c73MzSp32tS5iFmspJoqWV5A9RiugZXX0A,The Olvaren,36,1
AL2fNZwm5nQeyw0LBbbt9Vkt9ifGB2CRIzcc6XsSEeKCRiZmn9_CdjOHag,아닥집중겸손,36,1
ELyrHp1OHVxTp026XPqBG0NPqPrsn_qqAamY-ISJ92QcdBE,치 한,36,1
7SH3vfpj6fYJ_bmGADTsq2fO7RNK1o_r9MUA_Qbt10mdRRQ,Myrel,36,1
_jda0tOtOdmF5yAMUXylWPskUs21safieKVVHBhDD047GA,염슈기,36,3
_iyCtv_ZnPcAA0YYCBJwfY_pYBuU9NmJ7TTk5ums1_G8xvU,우리동네련어대장,35,6
WEJb1-J-Ob6IIMljAN6omWxAAdU1Cgq-HPaAphTDBuFbpGk,레 독,35,1
9nvMjWRd_YDa_TcaTniCWG6Ga8hvLw_qYsgera6CsBpgtMs,In the Air,35,2
hvnw6DeHHhf6YMOGNA_U-4IbpZmGJAVcaz4VlZU7G0bsmQk,MD신도시 DJ,35,1
jRSqF-z71V22ztd57C_cOX3pZCTQid_8qVL9jxAAJedR5Zg,떡된찐빵,35,1
eVdDhwBfvBcEtebRJYsN3Io_NJSzYWAu8-EzrJ_9aSjVTA,Live on bush,35,1
ipbINjJjMGjHWowogM3f6sauLcN_fLCUOQmuVYfBf88s1fE,필수합성요소,34,1
04mfNrPnRn2EDRoS-YVtOFl0rFnnROGnzzxPvMuwV1AgxA,오구오구오물오물,34,2
I-6hR25bzj-xs6pJwbjzxCOTMGvqDwCnFxRIJN_wUaRA_y0,Areilia,34,1
nUeRTGF6HXYFHJGFhOSvKTOYTVGi0PtH8BYfSwriBNrQCaU,tLiJDinah,34,1
kgxdvlmAw2jFyL67kC2zF9MXgG2DifzAHVR6KcVr5Uth9xU,강규석,34,2
rovlQBXKviSWILDoNEgfgbmR7RQRIchG_0kOZblOKj5uHAs,부드러운 돌맹이,34,1
zU_DJKuFge7Bqoo0ncKiR25iPTK97r9GU3uE6t80ba3dQjc,다리 장인 다람쥐,34,1
jAnFW9qoY2Qmoft8q7Utlzxh70Az0554n0NlwpxOm0rtcVk,주지요셉,34,3
GQ_JwSOwNi73yws9EjsC_S9mqqtbMgPs1YjICLxviNmfwGNi,테크니컬드리블러,34,2
yDR3PQBnqwae9UtoPaTfy6DVCbdFEWnL6cpvTiwM1gsfTAw,샴푸맛우럭,33,1
C7ruX9rsbtywDAyK1s3S6_-QmyXfHeu-vwUneLGWOjAbfhI,최종윤앰2앱2,33,3
Abg0gDpEfkefpS1696Ucz3bZU8ErTNBUzsqcCoTfJZpDUJo,멸공 투신,33,1
a_tFmd5MVc1ASYvCBqm4B2GIrHSVMSWoCAfYygi7AHkkVtI,롤 섹 남,33,1
EFYDjuO4qGYmH7lFsYq77W1zm75mJOst05CmkRcHia63yTE,역갱안옴바로박음,33,1
Y4TECfP_Xk3C23bX0xJeYsJX38cr_CAc84oN0183Dla3avA,2블헌터,33,1
Sr7PgTVPj4mnipL3xLZsY8spdzjS3s9P8O4prz8LCnHgMw,검색결과,32,1
xRkpFJs9wK9uJ4-XIbiPqzv_UnGLCmHzG6WCu4Om2_c6P4lIJxdxDA3_PQ,감자찜,32,2
20c2buv70SJbJmKlwtsuTueJ4GBYXU3es2B492BtX5pzczs,뢍주는록동이다,32,1
aWHWsR1yLRA-2uGaNpBxV0eC5qXiJstnMSUxfP8bJ6dCNDlT,kjh0508,32,1
Q_MmiZusdjqIItUGpdrDnvjdmoX2DaTk85l_9_OQ2v8LFbk,진도깨,32,5
xNMGEdEwICkGtOz45PbRLbbNCsCsCb8XSx7Ue9qml0ZjFku5,꼬민째,32,1
snQwL2oUIAbFLp2l4TLDCVb7J8UZAAmapp35K-G8BSn4ZYU,내이름은박춘배,31,1
_iMg2F6l2NKFXD16v66KdYFO99i8gUSjEBXisJOdfdjp0DfRekJbt9DJFg,오케이오케이민호,31,9
wzxVhcSXHB-wCigRykpxAX5c_oaQudi6uIxH5d938fOE5w,부천영도,31,1
-MBTky6Yg2IWd1rsbaVCsoLajKsV5cL9EsIlYEYVAx0d5V0,LoL N Gym,31,2
zZLotDhpFoxGe9fm2FsFRdaZt1DDvz_n7FE2LIF_023aWuahJj0SMiLKtQ,램프티,31,1
JZDpWWjXfNrJxJfOGsjlOTZHmCnq1rbZ_wqaSRKwMf6yTnZk,szvn,31,1
SO_70oqUYZ008Tn21Rf3sKVKvB4dIX866C3nd22vdnl1TB4,붙 어 ,31,4
_BX-dAyEa0ULPT8Vl4FsZ4EPDwCbQxSnYnbOLzYjdOGipAg,자르밥 4세,31,6
zYSg-NWBjAWdUiOmnIU8HZb_Ss6Uoz7r-IzDBHqVmwZnvZlrlciyzlFAnA,원딜시비르장x인,30,1
vTZ5GjYp6hLN5hQXs3YIDqREC6Vh66MUKFGAHabBEyJjcQ,전주 프제짱,30,1
gG4voH8J1rwC_uyJ-TM3VxoS1DNW-Un7wAWKcH9mRtEQZGA,다들 못 해보자,30,1
EtRDEkwvquELY72IeTqApl-VNLqt40mqSlXPh2FP0a-lJmM,아이런이게모야,30,1
Qom9HJCQQdfzC_yCTCOT1emTx517Yv61gOlbpvunwCB6rg,갸루치,30,1
_2jVmD0p1CJicQ9zHwdT28mCIdT7YJe3CKt8jBqGhSEq9oo,Innate 두부,30,1
_3rNR1fRvUGQmGidL-3FlY1g2gjqNpNweMf9O093UwQrabs,하남자 특 김동성,30,15
_HoWBAG3G_micLVVVxJ2rKYQD1yi8x-k_ORTC-MW-_HtfONi,고병억,29,3
